what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524652556623
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524653814497
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524653821240
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524653835704
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524653835813
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524653835876
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524653835876
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524654244630
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524654258598
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524654260704
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524654278619
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524654278635
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524654281476
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659461288
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659473117
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524659476799
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659479141
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524659484352
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524659485990
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524659486005
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659907486
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659977163
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659981063
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524659986243
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660010248
