what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.3.101.M20080827-0800,org.eclipse.ui.navigator,1524635653588
started,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1524635653601
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1524635653610
started,bundle,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views,1524635653616
started,bundle,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,org.eclipse.ui.workbench,1524635653623
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1524635653633
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1524635653634
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1524635653641
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1524635653647
started,bundle,org.eclipse.wst.common.frameworks,1.1.200.v200805140020,org.eclipse.wst.common.frameworks,1524635653655
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1524635653670
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.3.v200809102124,org.eclipse.wst.common.project.facet.core,1524635653679
started,bundle,org.eclipse.wst.jsdt.core,1.0.12.v200809120228,org.eclipse.wst.jsdt.core,1524635653680
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1524635653686
started,bundle,org.eclipse.wst.jsdt.ui,1.0.12.v200809172136,org.eclipse.wst.jsdt.ui,1524635653708
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1524635653714
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1524635653720
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1524635653728
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1524635653741
started,bundle,org.maven.ide.components.maven_model_edit,1.0.0.200810211342,org.maven.ide.components.maven_model_edit,1524635653847
started,bundle,org.maven.ide.eclipse,0.9.7.200810211342,org.maven.ide.eclipse,1524635653912
started,bundle,org.springframework.ide.eclipse.aop.core,2.2.0.v200809261800,org.springframework.ide.eclipse.aop.core,1524635653959
started,bundle,org.springframework.ide.eclipse.aop.ui,2.2.0.v200809261800,org.springframework.ide.eclipse.aop.ui,1524635653974
started,bundle,org.springframework.ide.eclipse.beans.core,2.2.0.v200809261800,org.springframework.ide.eclipse.beans.core,1524635653974
started,bundle,org.springframework.ide.eclipse.beans.ui,2.2.0.v200809261800,org.springframework.ide.eclipse.beans.ui,1524635653990
