what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524664339470
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524664349027
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524665306897
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524665312531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524665316074
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524665339158
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524665340780
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667028308
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667029571
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667030632
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524667031209
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667032597
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667032691
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667032769
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524667032769
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524667247552
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667249442
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667684652
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667687428
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667687444
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667690111
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524667690922
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667692248
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667692342
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524667692435
