what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524667692435
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524667768569
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667769148
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667770302
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524667771272
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524718742898
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524718758951
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524718759996
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524718991895
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719020968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719022309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719690731
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719693664
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524719694319
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719696612
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524719696722
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524719696800
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524719696800
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524719799052
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524719800457
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720068742
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720070692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524720071394
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720073609
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720073703
