what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524638229890
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524638229921
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textEnd,1524638231748
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638237425
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1524638237441
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638247984
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524638253888
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638255417
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524638259583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638259630
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1524638259661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638259957
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638264201
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524638302015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638446738
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638496258
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1524638501734
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524638501921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638518980
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638542076
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638547583
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524638548880
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524638552187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524638552218
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1524638552577
