what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1524720397812
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524720398093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720412112
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720415096
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524731641142
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524731645512
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524739973900
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524739982374
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524739984387
started,bundle,org.eclipse.mylyn.java.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.ui,1524739985978
started,bundle,org.eclipse.ajdt.mylyn.ui,1.6.0.200809031144,org.eclipse.ajdt.mylyn.ui,1524739985993
started,bundle,org.eclipse.mylyn.ide.ant,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.ide.ant,1524739986134
started,bundle,org.eclipse.mylyn.pde.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.pde.ui,1524739986196
started,bundle,org.eclipse.mylyn.resources.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.resources.ui,1524739986508
started,bundle,org.springframework.ide.eclipse.beans.mylyn,2.2.0.v200809261800,org.springframework.ide.eclipse.beans.mylyn,1524739986633
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524739991550
stopped,bundle,org.eclipse.ecf.provider.r_osgi,2.0.0.v20080916-1301,org.eclipse.ecf.provider.r_osgi,1524740000928
stopped,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC2_v20080916-1301,ch.ethz.iks.r_osgi.remote,1524740000991
stopped,bundle,org.eclipse.ecf.provider.jslp,2.0.0.v20080916-1301,org.eclipse.ecf.provider.jslp,1524740001006
stopped,bundle,ch.ethz.iks.slp,1.0.0.RC4_v200806091030,ch.ethz.iks.slp,1524740001053
stopped,bundle,com.atlassw.tools.eclipse.checkstyle,4.4.2,com.atlassw.tools.eclipse.checkstyle,1524740001053
stopped,bundle,com.collabnet.ccf.pt,1.4.9,com.collabnet.ccf.pt,1524740001116
stopped,bundle,com.collabnet.ccf.qc,1.4.9,com.collabnet.ccf.qc,1524740001162
stopped,bundle,com.collabnet.ccf.teamforge_sw,1.4.6,com.collabnet.ccf.teamforge_sw,1524740001225
stopped,bundle,com.collabnet.ccf.sw,1.4.7,com.collabnet.ccf.sw,1524740001240
