what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1524637684779
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524637684810
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524637830360
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1524637830735
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637830984
opened,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524637839703
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524637839719
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637840031
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1524637840078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637840546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524637859764
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1524637900402
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524637900683
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524637901168
started,bundle,org.aspectj.ajde,1.6.2.20080828190000,org.aspectj.ajde,1524637902541
started,bundle,org.eclipse.ajdt.core,1.6.0.200809031144,org.eclipse.ajdt.core,1524637902541
started,bundle,org.eclipse.ajdt.ui,1.6.0.200809031144,org.eclipse.ajdt.ui,1524637902931
started,bundle,org.eclipse.ecf.ui,2.0.0.v20080916-1301,org.eclipse.ecf.ui,1524637911106
started,bundle,org.eclipse.ecf.example.collab,1.3.0.v20080916-1301,org.eclipse.ecf.example.collab,1524637911106
started,bundle,org.eclipse.ecf.filetransfer.ui,1.4.0.v20080916-1301,org.eclipse.ecf.filetransfer.ui,1524637911106
started,bundle,org.eclipse.ecf.provider.bittorrent.ui,0.2.0.v20080916-1301,org.eclipse.ecf.provider.bittorrent.ui,1524637911122
started,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.irc.ui,1524637911122
started,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20080916-1301,org.eclipse.ecf.provider.msn.ui,1524637911137
started,bundle,org.eclipse.ecf.provider.xmpp.ui,2.0.0.v20080916-1301,org.eclipse.ecf.provider.xmpp.ui,1524637911153
started,bundle,org.eclipse.mylyn.java.tasks,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.tasks,1524637911153
