what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660033499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660084805
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660090454
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1524660101048
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660102296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660123135
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524660125587
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524662232386
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524662234898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524662521740
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524662528215
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663129481
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663132913
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524663134635
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663147090
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1524663147106
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663147215
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524663150741
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524663153019
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663153097
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663153658
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524663182518
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524663200059
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524663200496
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524663200964
