what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640788141
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524640871030
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640876396
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1524640880218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640880250
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1524640880265
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640880562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640906364
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1524640952121
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524640986779
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524641007054
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524641024046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524646758546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524646760433
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524647400193
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524647405747
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524648063575
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524648063591
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524648068411
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524649304122
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524649309711
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524649373730
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524650071090
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524650072822
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524652554454
