what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720073781
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524720073781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720127739
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720136928
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720164394
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720254557
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720256196
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720256196
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720256820
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720256820
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720259675
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1524720260159
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720262203
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720262281
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1524720262359
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1524720262359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720302513
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720339072
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720344064
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720345970
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720347670
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720351858
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720372279
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720395690
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524720397781
