what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.core,0.7.4.I20081001-1900,org.eclipse.team.svn.core,1524635655926
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1524635655990
started,bundle,org.eclipse.team.svn.ui,0.7.4.I20081001-1900,org.eclipse.team.svn.ui,1524635656025
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635665908
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635669334
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1524635669370
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1524635672348
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1524635672349
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1524635672385
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635676972
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1524635716701
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1524635716742
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635764683
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635771101
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1524635775666
started,bundle,org.eclipse.wst.validation.ui,1.2.1.v200807292117,org.eclipse.wst.validation.ui,1524635775666
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635785304
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635791680
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635826577
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635847095
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1524635851459
opened,view,org.eclipse.team.svn.ui,0.7.4.I20081001-1900,org.eclipse.team.svn.ui.repository.RepositoriesView,1524635851743
opened,view,org.eclipse.team.svn.ui,0.7.4.I20081001-1900,org.eclipse.team.svn.ui.repository.browser.RepositoryBrowser,1524635851788
activated,perspective,org.eclipse.team.svn.ui,0.7.4.I20081001-1900,org.eclipse.team.svn.ui.repository.RepositoryPerspective,1524635851839
activated,view,org.eclipse.team.svn.ui,0.7.4.I20081001-1900,org.eclipse.team.svn.ui.repository.RepositoriesView,1524635851846
